Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Rambo,2008.0,7.0,224637.0,"Action, Adventure, Thriller",92.0,Film,R,-1.0,Moderate,Severe,Severe,Mild,Severe
Prom Night,1980.0,5.4,17071.0,"Horror, Mystery, Thriller",92.0,Film,R,-1.0,Mild,Severe,Moderate,Moderate,Moderate
All the Queen's Men,1980.0,5.3,377.0,Drama,-1.0,Series,None,10.0,No Rate,No Rate,No Rate,No Rate,No Rate
The Bourne Legacy,2012.0,6.6,292719.0,"Action, Adventure, Thriller",135.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Moderate
"Planes, Trains & Automobiles",1987.0,7.6,131032.0,"Comedy, Drama",93.0,Film,R,-1.0,Mild,None,Moderate,Mild,None
Gon-ji-am,2018.0,6.3,6759.0,Horror,95.0,Film,Not Rated,-1.0,None,Mild,Mild,Mild,Severe
Body Double,1984.0,6.8,31694.0,"Crime, Drama, Mystery",114.0,Film,R,-1.0,Severe,Moderate,Moderate,Mild,Moderate
Girl Meets World,1984.0,7.1,13797.0,"Comedy, Drama, Family",23.0,Series,TV-G,72.0,None,None,None,None,None
Pumpkinhead,1988.0,6.2,22424.0,"Fantasy, Horror",86.0,Film,R,-1.0,None,Moderate,Mild,Mild,Moderate
The Avengers,1988.0,8.3,7317.0,"Action, Comedy, Crime",60.0,Series,TV-14,161.0,None,Mild,None,Mild,Mild
Friday the 13th Part VIII: Jason Takes Manhattan,1989.0,4.6,36049.0,"Adventure, Horror, Thriller",100.0,Film,R,-1.0,Mild,Severe,Moderate,Moderate,Moderate
Spin City,1989.0,7.2,27635.0,Comedy,30.0,Series,TV-14,145.0,Mild,Mild,Mild,Mild,None
Life of Brian,1979.0,8.1,382441.0,Comedy,94.0,Film,R,-1.0,Moderate,Mild,Moderate,None,None
You Should Have Left,2020.0,5.4,18710.0,"Horror, Thriller",93.0,Film,R,-1.0,Mild,Mild,Moderate,None,Moderate
Dawn of the Planet of the Apes,2014.0,7.6,423774.0,"Action, Adventure, Drama",130.0,Film,PG-13,-1.0,None,Moderate,Moderate,Mild,Moderate
Flashdance,1983.0,6.2,50601.0,"Drama, Music, Romance",95.0,Film,R,-1.0,Moderate,Mild,Moderate,Mild,None
Mom's Got a Date with a Vampire,2000.0,5.9,4051.0,"Comedy, Family, Fantasy",85.0,Film,TV-PG,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Korea's Next Top Model,2000.0,-1.0,-1.0,Reality-TV,-1.0,Series,None,4.0,No Rate,No Rate,No Rate,No Rate,No Rate
Superhero Movie,2008.0,4.6,66314.0,"Action, Comedy, Sci-Fi",75.0,Film,PG-13,-1.0,Mild,Mild,Moderate,Moderate,Mild
The Facts of Life,2008.0,6.8,6709.0,"Comedy, Family",30.0,Series,TV-PG,201.0,Mild,None,None,None,None
True Grit,1969.0,7.4,45631.0,"Adventure, Drama, Western",128.0,Film,G,-1.0,None,Moderate,Mild,Mild,Moderate
Witch Hunt,2021.0,4.3,409.0,"Fantasy, Horror, Thriller",98.0,Film,R,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Shakespeare in Love,1998.0,7.1,219389.0,"Comedy, Drama, History",123.0,Film,R,-1.0,Moderate,Mild,Mild,Mild,None
This Is England,2006.0,7.7,118985.0,"Crime, Drama",101.0,Film,Not Rated,-1.0,Moderate,Severe,Severe,Moderate,Severe
Scener ur ett äktenskap,1974.0,8.4,5803.0,Drama,169.0,Film,PG,-1.0,Moderate,Mild,Mild,Mild,Mild
Samurai Jack,1974.0,8.5,49177.0,"Animation, Action, Adventure",25.0,Series,TV-14,62.0,Mild,Moderate,Mild,None,Moderate
Friday the 13th Part VII: The New Blood,1988.0,5.3,35105.0,"Horror, Thriller",88.0,Film,R,-1.0,Moderate,Severe,Moderate,Moderate,Moderate
